Company,Records_Found,SOS_ID,Date_Formed,Status,Business_Type
"3DFS, L.L.C.",2,1227318,10/26/2011,Current - Active,Limited Liability Company
3rd Rock Sunblock Inc,1,0677866,6/4/2003,Current - Active,Business Corporation
3rdTech Inc,3,0501424,7/28/1999,Dissolved,Business Corporation
410 Medical Inc,2,1581409,3/16/2017,Current - Active,Business Corporation
42Local LLC,No results found,,,,
52pearls,1,1518456,5/19/2016,Admin. Dissolved,Limited Liability Company
908 Devices Inc,2,1388931,7/8/2014,Revoked,Business Corporation
ABAN Inc,33,1146853,5/3/2010,Dissolved,Non - Profit Corporation
Accept U,1,1025897,2/6/2008,Admin. Dissolved,Limited Liability Company
AccuNovo Biotechnologies Inc,1,1724467,7/9/2018,Current - Active,Business Corporation
ACRIS Pharmaceuticals LLC,1,1316630,5/8/2013,Dissolved,Limited Liability Company
Acta Solutions LLC,1,1660721,4/1/2022,Current - Active,Business Corporation
Activate Kids,No results found,,,,
Actus Therapeutics Inc,1,1652933,1/11/2018,Withdrawn by Merger,Business Corporation
Adamas Nanotechnologies,1,1178743,12/7/2010,Current - Active,Business Corporation
AdaptBionic,1,2072965,10/27/2020,Admin. Dissolved,Limited Liability Company
A Dog's Canvas,1,2597012,3/17/2023,Active - Not Current,Limited Liability Company
Advance Access & Delivery,1,1454023,6/23/2015,Current - Active,Non - Profit Corporation
Advanced Cochlear Diagnostics LLC,1,1507810,3/31/2016,Current - Active,Limited Liability Company
Advanced Nutrigenomics,1,1358634,1/27/2014,Current - Active,Limited Liability Company
Advanced Recruiting Intelligence Inc,No results found,,,,
Advanced TeleCare,1,1056995,8/5/2008,Admin. Dissolved,Limited Liability Company
Advantageous,5,2123617,2/2/2021,Admin. Dissolved,Limited Liability Company
Aerem Innovations Inc,1,2467046,8/10/2022,Current - Active,Business Corporation
Africa Rising,1,0804779,9/27/2005,Dissolved,Non - Profit Corporation
AgBiome Inc,3,1300031,2/4/2013,Current - Active,Business Corporation
Airlie Investments Inc,1,1386142,6/20/2014,Active - Not Current,Limited Liability Company
AI Tracking Solutions LLC,1,1534345,8/2/2016,Withdrawn,Limited Liability Company
Algorhythmic Labs,1,2632816,5/16/2023,Current - Active,Limited Liability Company
Algynomics Inc,2,0795653,8/2/2005,Withdrawn by Merger,Business Corporation
Alievio,2,1382051,5/30/2014,Withdrawn,Business Corporation
AlightSuccess,1,2523078,11/15/2022,Current - Active,Limited Liability Company
Alkemere LLC,1,1420448,1/7/2015,Current - Active,Limited Liability Company
Allotropica Technologies Inc,1,1055895,7/29/2008,Admin. Dissolved,Business Corporation
Aloha Social,No results found,,,,
AlphaRank Inc,No results found,,,,
AlphaVax Inc,4,0425631,4/29/1997,Withdrawn,Business Corporation
Alpha V Inc,36,0695339,10/17/2003,Multiple,Business Corporation
Alrgn Bio Inc,1,1384060,6/10/2014,Dissolved,Business Corporation
Altis BioSystems LLC,1,1712712,6/7/2018,Current - Active,Business Corporation
Altometrics Inc,1,1149811,5/19/2010,Dissolved,Business Corporation
